OEM,Model,Segment,Month,Year,NoOfSales,EngineCapacity,Mileage,Model Price,Dealer location,Region
Bajaj,Pulsar,Motorcycle,Oct,2022,18138,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Oct,2022,1649,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorc,Oct,2022,31251,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,Oct,2022,4002,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Oct,2022,1299,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Oct,2022,607,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Oct,2022,2187,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Oct,2022,345,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Oct,2022,1641,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorc,Oct,2022,1197,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,Oct,2022,1250,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,Nov,2021,60646,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,Nov,2021,13196,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Nov,2021,511,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Nov,2021,0,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcycle,Nov,2021,929,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Nov,2021,42311,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Nov,2021,13084,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Nov,2021,2055,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorc,Nov,2021,5874,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,Nov,2021,1894,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Nov,2021,644,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Nov,2021,608,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Nov,2021,735,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Nov,2021,248,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Nov,2021,1440,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorc,Nov,2021,540,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,Nov,2021,238,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motor,Sep,2022,73354,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,Sep,2022,13773,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Sep,2022,4035,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Sep,2022,13178,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcycle,Sep,2022,666,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Sep,2022,57892,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Sep,2022,24442,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorc,Sep,2022,1675,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorc,Sep,2022,21022,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Sep,2022,3970,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Sep,2022,1647,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Sep,2022,701,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Sep,2022,2160,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Sep,2022,266,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Sep,2022,1848,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motor,Sep,2022,777,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,Sep,2022,1506,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motor,Oct,2021,84109,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,Oct,2021,18084,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Oct,2021,835,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Oct,2021,0,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcycle,Oct,2021,97,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Oct,2021,48662,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Oct,2021,24495,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorc,Oct,2021,4,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorc,Oct,2021,7407,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Oct,2021,4696,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Oct,2021,5936,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Oct,2021,983,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Oct,2021,1162,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Oct,2021,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Oct,2021,0,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motor,Oct,2021,1091,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,Oct,2021,1171,375,25-30,287295,Jaipur,North
Bajaj,Platina,Moto,Aug,2022,99987,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,Aug,2022,15047,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Aug,2022,2762,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Aug,2022,9047,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcyc,Aug,2022,263,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Aug,2022,53153,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Aug,2022,28335,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Aug,2022,3247,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Moto,Aug,2022,14994,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Moto,Aug,2022,1757,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Moto,Aug,2022,653,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcyc le,Aug,2022,681,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcyc,Aug,2022,1405,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcyc,Aug,2022,71,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Aug,2022,633,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Aug,2022,973,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Aug,2022,830,375,25-30,287295,Jaipur,North
Bajaj,Platina,Moto,Sep,2021,82559,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,Sep,2021,25852,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Sep,2021,642,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Sep,2021,0,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcyc,Sep,2021,582,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Sep,2021,39081,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Sep,2021,11082,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Sep,2021,399,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Moto,Sep,2021,3703,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Moto,Sep,2021,2326,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Moto,Sep,2021,4108,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcyc le,Sep,2021,691,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcyc,Sep,2021,1173,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcyc,Sep,2021,148,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,Sep,2021,4,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Sep,2021,1222,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Sep,2021,373,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,July,2022,48484,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,July,2022,6064,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,July,2022,3002,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,July,2022,0,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcycle,July,2022,14,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2022,59844,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2022,31416,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorc,July,2022,1143,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,July,2022,9964,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,July,2022,1607,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2022,681,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,July,2022,113,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,July,2022,847,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorc,July,2022,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorc Cle,July,2022,0,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,July,2022,409,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,July,2022,494,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,Aug,2021,56615,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Aug,2021,26578,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Aug,2021,364,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,CT ,Motorcycle,Aug,2021,0,125,70-75,55300,Jaipur,North
Bajaj,Duke ,Motorcycle,Aug,2021,757,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Aug,2021,32659,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Aug,2021,24621,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorc,Aug,2021,2110,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,Aug,2021,4666,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,1428,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Aug,2021,4161,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Aug,2021,641,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,1444,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorc,Aug,2021,145,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorc Cle,Aug,2021,440,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Aug,2021,582,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,760,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,June,2022,27732,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,June,2022,2413,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,June,2022,2469,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,June,2022,0,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,June,2022,51554,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,June,2022,16976,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,June,2022,4828,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,June,2022,14802,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,June,2022,767,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,June,2022,391,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,June,2022,2108,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,June,2022,218,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,June,2022,4,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,June,2022,232,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,June,2022,214,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,June,2022,0,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,July,2021,54606,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,July,2021,27962,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,July,2021,730,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,July,2021,749,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2021,34667,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2021,21535,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,July,2021,1866,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,July,2021,5408,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,July,2021,2019,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,July,2021,3484,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,July,2021,530,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,July,2021,1002,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,July,2021,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,July,2021,395,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,July,2021,411,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,July,2021,676,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,May,2022,17336,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,May,2022,1257,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,May,2022,2544,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,May,2022,4,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,May,2022,56396,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,May,2022,6632,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,May,2022,1824,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,May,2022,6177,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,May,2022,1197,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorc Cle,May,2022,36,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,May,2022,288,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,May,2022,642,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,May,2022,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,May,2022,442,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,May,2022,769,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,May,2022,558,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorc,June,2021,43313,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorc,June,2021,26608,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,June,2021,452,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,June,2021,852,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,June,2021,47266,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,June,2021,23901,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,June,2021,1717,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,June,2021,4443,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorc,June,2021,1404,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorc Cle,June,2021,3540,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,June,2021,500,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,June,2021,536,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,June,2021,186,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,June,2021,143,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,June,2021,347,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorc,June,2021,43,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,May,2021,11164,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,May,2021,7678,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,May,2021,31,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,May,2021,271,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,May,2021,28636,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,May,2021,8638,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,May,2021,556,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,May,2021,1325,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,May,2021,375,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,May,2021,1026,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,May,2021,176,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motor,May,2021,168,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,May,2021,48,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motorcycle,May,2021,59,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,May,2021,62,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,May,2021,129,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,Apr,2022,39316,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Apr,2022,5498,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Apr,2022,1246,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,Apr,2022,30,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2022,42747,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2022,2177,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Apr,2022,174,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,Apr,2022,1024,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2022,142,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2022,92,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Apr,2022,2,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2022,25,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Apr,2022,5,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motor,Apr,2022,174,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Apr,2022,127,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2022,454,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,Apr,2021,35467,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Apr,2021,15619,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Apr,2021,510,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,Apr,2021,1172,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2021,35891,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2021,21100,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Apr,2021,1925,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,Apr,2021,5681,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2021,1410,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Apr,2021,3914,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Apr,2021,650,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2021,1089,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Apr,2021,219,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motor,Apr,2021,461,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Apr,2021,611,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Apr,2021,851,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,Mar,2022,26952,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Mar,2022,5211,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Mar,2022,1006,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,Mar,2022,186,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2022,39687,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2022,18044,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Mar,2022,1582,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,Mar,2022,7077,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2022,1943,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2022,2531,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Mar,2022,98,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2022,1539,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Mar,2022,120,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motor,Mar,2022,694,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Mar,2022,410,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2022,1,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,Mar,2021,69025,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Mar,2021,13895,100,75-80,"45,274 - 54,138",Jaipur,North
Bajaj,CHETAK,EV Scooter,Mar,2021,90,N/A (electric scooter),85,"1,00,000 - 1,15,000",Jaipur,North
Bajaj,Duke ,Motorcycle,Mar,2021,1719,125,45-50,150925,Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2021,41956,125,50-55,"75,494 - 88,869",Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2021,29556,150,45-50,"98,835 - 1,04,314",Jaipur,North
Bajaj,Avenger,Motorcycle,Mar,2021,3074,180,45-50,107605,Jaipur,North
Bajaj,Pulsar NS,Motorcycle,Mar,2021,9315,180 / 200,35-40,"1,15,615 - 1,36,248",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2021,2226,200,30-35,183327,Jaipur,North
Bajaj,Pulsar,Motorcycle,Mar,2021,5172,220,30-35,128508,Jaipur,North
Bajaj,Avenger,Motorcycle,Mar,2021,943,220,35-40,130774,Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2021,1249,250,30-35,228878,Jaipur,North
Bajaj,HUSQVARNA,Motorcycle,Mar,2021,482,N/A (brand),35-40,"1,80,000 - 2,20,000",Jaipur,North
Bajaj,DOMINAR,Motor,Mar,2021,732,250,30-35,178900,Jaipur,North
Bajaj,DOMINAR,Motorcycle,Mar,2021,936,375,25-30,"2,08,995 - 2,33,995",Jaipur,North
Bajaj,KTM Duke,Motorcycle,Mar,2021,1023,375,25-30,287295,Jaipur,North
Bajaj,Platina,Motorcycle,Feb,2022,29124,100,70-75,"52,166 - 63,578",Jaipur,North
Bajaj,CT ,Motorcycle,Feb,2022,4985,100,75-80,"45,274 - 54,138",Jaipur,North
